,summary,review,rating
1520,Not Chocolate,"This stuff is just a powdery waste of money. I won't buy it again, ever. You'd do better with packets of swiss miss...",2.0
1522,I was surprised there was no lactofermentation involved,"When you make this kimchi according to the instructions, you essentially are letting the cabbage soak overnight in brine, then draining it and mixing in a packet of ground spices before sticking it immediately into the refrigerator to let the flavors marry. This is NOT the same thing as fermenting a batch of kimchi for days at room temperature so that those wonderful fermentation bubbles build up and render the special ""tang on the tongue"" that I realized (after making this) is critical to good kimchi.I also found the flavor strange, too sweet and also a little ""off"" in a way I cannot describe. I didn't weigh my cabbage, but I selected a standard-sized Napa head so it had to be in the ballpark of four pounds. But the flavor of the packet overwhelmed the cabbage completely. I wound up rinsing off as much as I could, then stuffing the cabbage back into a mason jar and putting it under airlock on the counter to see if I can salvage the batch. The verdict is still out.I'm not a kimchi purist or connoisseur, but I know enough to know this isn't what I like. I'm going back to Sandor Katz' technique fromWild Fermentation: The Flavor, Nutrition, and Craft of Live-Culture Foodsand see if I can't get closer to something I can't stop eating. Maybe I can work some of this product into the recipe somewhere along the way and it'll be magic, and I do hope this is the case because I've got 11 packets left.",2.0
1528,Not as Flavorful as I'd Hoped,"Based on the other reviews, I hoped for great flavor.  This did not deliver.  I had not made char siu for many years, but I was hoping for the char siu I had made of old.  This was a pale, pale imitation.  Next time, I'm going to use two or three envelopes and marinate for several days.  Maybe that will do the trick.  But I'm afraid I'm going to have to forget about the lazy man's solution and find my old recipe and do it from scratch.",3.0
1530,okay,It's ok.  I'm not really crazy with the flavor.  I'd rather follow a recipe how to make Char Siu.  One of the cookbooks I bought from amazon had a recipe for it.,3.0
1532,Great if you like fluorescent red meat you can see in the dark,Great if you like fluorescent red meat you can see in the dark.  The Korean version NOH sells is great but this is just bright red food coloring that looks like something a 3 year old made.  It is terrible and it makes hideous looking meat that looks like something from a horror movie.,1.0
1536,Too expensive,"This is hulled barley; the hull is left on and must cook longer than pearl barley, but the end result is better nutrition.  There are cooking directions on the package.However, for ten bucks... way too expensive.  The volume of 1 lb of hulled barley can fit into about one sandwich baggie.Though I have no complaints with the product, and a little bit of barley goes a long way.... at this price point, it is too expensive for me to order again.  There is better value elsewhere on amazon.com",3.0
1544,Two Thumbs Up,"My father is a second generation Italian immigrant and he had torrones since childhood. In his opinion La Florrentine torrones are excellent. I'll be visiting in a few days and if he hasn't eaten them all I'll try one too. Believe me, if my dad doesn't like something he'll let me know therefore these must be good.",5.0
1545,Just as I remembered!!,"As soon and I opened one of these little gems I was transported back to my childhood when I spent my summers with my beloved Nonna.My grandma had a store in Bridgeport Ct. I loved going there, It was one of those stores that had a grocery department in the front  and in the back was a butcher, there was saw dust on the floor and fish and hardware splattered around, on the counter my grandma would keep, under the rows of Italian sausage and big balls of aging chees, a basket full of Perugino nougat candy just like this one. Although these are not the same brand the are good enough to bring back fond memories of my times with my grandma.I would come in and call out ""Ciao Nonna"" and she would come and kiss my cheep and grab a couple of candies tell me how much she loved me and tap my bottom and send me on my way with my treat.I just cannot stop eating these, they are not exactly like the ones I remember, because it has been a very long time and tastes have changed but these are just as soft and sweet, chewy and still has nice crispy almonds.  If the almonds are stale they would be soft and chewy, not good.  I love these I am just happy they do not sell them around the corner I would be in trouble.If you have never tried this unbelievable nougat candy you are missing something give them a try you will not be sorry.",5.0
1546,"Good tea, but overrated","I found this tea to be just OK, but not really worth the rave reviews being offered here on Amazon. For what it's worth, I like my tea with plenty of nutrasweet/aspartame - I put in maybe 5 packets per 10 oz of tea. My favorite tea is Celestial Seasonings Blueberry.",3.0
1575,Some people apparently love this.  More power to them.,this is an acquired taste.  My family has not acquired it.  My son suggested I call it the best laxative on the market. Is it really supposed to be brown?,1.0
1576,Yummy Stuff,"As an American I didn't know quite what to expect, but I like to try different things so decided to give this a try.  I'm hooked.  It goes very nicely with chicken and beef.  I've put it in canned beans and it really gave them a very nice kick.",4.0
1618,Great price and taste,Bought this for my pepper grinder I got myself to Christmas. Love the taste of fresh ground pepper.,5.0
1621,"This tastes like CINNAMON OIL, not a traditional chai blend","Wow, was I looking forward to this after the great reviews. I got it today & made a cup right away. What a huge disappointment. The cinnamon oil is overpowering in a very unpleasant way. I cannot taste or smell any other spice. The green tea does come through a bit.I forced myself to finish the cup. I doctored it with extra fresh cardemom and fresh star anise. It was not worth the effort, it was as if I'd never put them in the cup.If you like true chai flavored tea and do not want the cinnamon to overpower your taste buds, this is NOT for you. Stay away from this stuff.Even from the perspective of the cinnamon flavor, this tea is not pleasant. I understand cinnamon is good for lowering blood sugar levels, so if you want to use this as a medicinal tea, I guess this would be acceptable.I can't send this back, so I'll be using it in a pot of boiling water for a cinnamon potpourri. I wouldn't even mix it with my other chai teas as there is just too much cinnamon oil.Stash would have been better off just using the real spices and skipping the oils. Now I am concerned about the green tea chai from Stash. I have some on order and they noted that they included clove oil. I'm hoping it won't taste like a cup of clove water.Very, very disappointed.",1.0
1622,Decaf,"Stash Tea Company Decaf Chocolate Hazelnut Tea, This flavor just didn't do it for me. But i had to give it a shot.",3.0
1626,Better than Bigelow's Earl Gray Green,"I was disappointed as I could not taste the bergamot like I can in Twinings Earl Grey. It was much better than Bigelow's Earl Grey Green and there was no bitter aftertaste. Maybe I expected it be more like the original Earl Grey. I was hoping that I'd like it as I would get the green tea benefits with the black tea taste, but the flavor still fell flat for me as it did not have the delicacy of Twinings. I think I'll stick to Salada green tea and keep my black tea Earl Grey. Salada doesn't have that hay like taste or the bitter aftertaste that some green teas have and it's inexpensive. Also, Celestial Seasonings has a Mandarin Orchard green tea that's really good.",3.0
1630,Best Tea,We so enjoy this tea.  Really great taste & we add a little sugar to it.  We like sweet tea & this is great.,5.0
1631,Tastes exactly like regular Stash Green Tea,"I was worried this was going to taste ""less"" than green coffee, or have some weird after taste or some other sort of nonsense, much like Caffeine Free soda or Diet Soda, etc., would, but this tastes basically like the regular Stash Green Tea, but decaf (We buy it for the pregnant ladies at work) and organic! This is USEFUL information for those who were afraid to jump the gun on decaf green tea - this particular brand is good!",5.0
1642,Delicious,"this is delicious.  I wanted an organic chai, since I found out my other chai didn't do so well when it came to pesticide residues, so I switched to this, and it's nice I didn't have to give up flavor.  This is delicious- spicy, but not overwhelming. And unlike some Chais, I find it balanced.  In some only one spice predominates- I find this one to have many flavors.",5.0
1646,Strong Bergamot Perfume,"***This Earl Grey Tea from Stash is plain, and definitely not subtle because of a strong bergamot component---way too strong! If you really, really love bergamot you may like it, but I much prefer a more subtle and more complex tea. It tastes like perfumed black tea; I could hardly drink it. I could not tell the difference between it and Stash's Double Bergamot Black Tea---both are just swimming in oil of bergamot. I am an Earl Grey fan, but just couldn't stomach this tea.It seems like the quality of the black tea is very good, though, because even with a longer brewing time, the tea did not become bitter...so, if you can stand being hit over the head with the bergamot flavor, you might enjoy it.Only recommended for those who want a strongly perfumed bergamot Earl Grey.***",3.0
1651,disappointed,"So I order over a hundred bags of Organic Decaf Premium Green Tea,  being unable to find it locally to try, and it has hardly any flavor :-(((Bummer.",2.0
1653,Ordered 6 on Subscribe & Save; received 1 squashed package along with numerous heavy items in one large box.,"I ordered 6 on scribe and save but received only 1. The box was squashed since it was packed with numerous heavy items in a really big box.I won't know until I receive my credit card how I was charged, but it should be free as far as I'm concerned since I did not get what I ordered and the website refused to let me schedule a return.  At least I should be charged 1/6th of what the subscribe and save price was.The tea inside the package is undamaged.",1.0
1654,"Not green, not good","This decaf really disappointed me, esp. given the other glowing reviews.  It does not appear green, nor does it taste ""green"" (ie: doesn't have that fresh ""grassy"" flavor many describe as found in an authentic Japanese green tea).  Actually, this could be a good paring with seafood, because  I sometimes detect a slight fishiness in the taste.  Yuk.  Stash Decaf Green, the non-organic, non-premium tea, is actually a little better than this one.  What people like is a matter of personal taste, but I won't ever buy this tea again.",1.0
1676,Third reorder,Pizza is a staple for us and this has become essential. The ground up bits of dried tomato add depth beyond the usual italian spice mix -though Frontier's other italian spice mix generally gets a shake or two as well.Well worth the small premium over the usual italian spice mixes.,5.0
1677,Flavors of long ago,"The flavors we all miss from pizza shops today. This blend is fresh tasting and is superb!  My local grocery stopped carrying it, I was so happy to find it here. I am addicted, use it as a dry rub when  grilling meats and veggies, soups,  roasts, garlic bread etc.",5.0
1686,Organic Nutmeg...,"Nutmeg is rich in protective anti-inflammatory compounds that can lower your risk of cancer by stifling tumor growth. Macelignan the compound in nutmeg fights the germs which reduces plaque formation by 50 percent and eradicates cavity-producing microbes. This is not saffron. Saffron is very, very expensive and comes from Iran. Nutmeg is from Malaysia and Indonesia. For purity place some in water. If water turns into a murky color then it is diluted since real nutmeg will turn water yellow. In small quantities nutmeg is safe, but in higher quantities, nutmeg is very poisonous and toxic. Nutmeg has been used as a drug in other countries and indulgence can cause a slew of adverse effects. I use it in moderation and try to get the whole nut and grind it myself. In my big dishes, I just throw in the nut, no grinding. Nutmeg has a very strong and distinctive taste.Spice Hunter is sold everywhere so prices varies considerably. This is a good brand in organic form. Powders always lose the taste and smell sooner than the whole nut regardless of the food item but grinding may be a challenge for such a hard nut.",5.0
1688,Mild but savory,"I was afraid this might be too spicy, but it's not. I just started using this a couple days ago and have added it to BBQ chicken I made in the crockpot.",5.0
1697,When I saw the powder instead of pearls I was horrified,"I read the reviews here from other customers, concerning this black bubble tapioca pearls and I learned some people got packages of firm pearls and some customers got old crumbled pearls that are mostly dusty stuff.... my package was mostly dust but i dropped it all into a large pot that had a rolling boil of water and cooked for 25 minutes, then turned off heat , put lid on pot, let sit and cool down for half hour.  I strained the goop off the pearls, then added pearls into condensed milk/extra strong brewed coffee and gave gentle stir....served the drink cold in little glasses with wide mouth straw and our office staff was thrilled with the results.",3.0
1698,DO cook them longer than package suggests!,"DO cook them longer than package suggests- until just barely have a bite. Drain, rinse twice in cold water, drain, poor in brown sugar, cinnamon syrup (1 1/2 c water, 1 c brown sugar, 1 tsp cinnamon - boiled until sugar dissolves), stir well, let cool, then refrigerate over night, stir, add cool water just to top of pearls stir. Use ~1/4 c per 16 oz tea/flavor mix serving.",3.0
1699,Undecided,"I did not know what I was buying when I purchased this item. At first I was puzzled that it was not black, after all it is ""black"" tapioca. I was planning to use the black tapioca in chocolate tapioca pudding. I went ahead and cooked some and discovered it does indeed turn black after cooking. But now I am not sure what to do with it because the package directions are unclear. I did an internet search for some bubble tea recipes which should not be necessary. None the less, the tea looks interesting.",3.0
1700,Very Disappointed,I was very excited to get these Tapioca Pearls to make bubble tea. They arrived a powdery blob of mess in the bag. It looked like someone dropped the bag and kicked it around until it was turned into mostly dust.,1.0
1703,nice gift box..,"well, people complained about the candies but I actually find them very delicious, I don't really think they are made like back in the 60's or I hope they are not lol. I tried them all and they seem fresh so I am giving them 5 stars, plus the box is pretty neat.",5.0
1704,Better The First Time,"I just received this assortment of candy for the second time and I am quite disappointed. The only reason that I ordered the same one again was that my friend loves rock candy. The rock candy is no longer included, although it is still advertised as being in there.In fact, a lot of the candy that was in there the last time is gone. The pieces that were full sized before are no longer full size and the candy tastes as if it was also made in the sixties and has been sitting around since then, waiting for some sucker to order it. Do yourself a favor and save your money, it is not worth the price they charge at all.",2.0
1707,"Not a lot of candy, some items easy to find elsewhere","About 30 small pieces of candy, lots of shredded brown paper, and a nice box.  Half the stuff I'd have trouble finding.  The cool factor here is ""This is the candy that mom and dad had when we were kids"".  I was a little hesitant about the candy cigarettes, pipes and cigars, but that was part of the era.",3.0
1711,I still prefer tetley's...,"The colour is lovely...and it is as smooth as heirloom Irish linen sheets...but, this tea lacks body, it lacks depth...and having tried all of them, from artisan-teas to generic brands and everything in between. Barry's ranks an &#34;eh&#34;....",3.0
1712,Barry's Gold Blend Tea,"We normally get Stash tea in this household, but I thought for the holidays, we would try some authentic English breakfast tea.  Oh my.  It was just awful.  Its back to Stash for us.",1.0
1721,not worth it,"Why would a huge plastic container of round cheese balls be selling for over 20 dollars?  Are you kidding me?  And the worst part is that the regular cheese curls are a thousand times crunchier and tastier anyway.  Cheese balls taste rather hard and lack the cheesy flavor in comparison to the actual curls.  Either way expect cheese stains all over your hands, and especially the furniture and Nintendo equipment (including TV and Wii remotes) in the living room.  A product that I fail to see why anyone would consider purchasing considering the many flaws.",3.0
1722,Different opinions,"I thought these tasted very good (but I am not a cheese puff expert), others thought these were just OK - definitely snackable and will be devoured, but they would prefer another brand.",4.0
1724,NASTY!!!,Stale as all get out! Do not buy! Learn from my bad! Do not waste your money! Gag! Ack ! Barf!,1.0
1725,Product is good but Seller stinks,"Yesterday I wrote to this Seller stzting that I got 4 of these barrels of cheese balls, and each one had an expiration date of 1/07 --- seems like they went through their inventory and sent out everything that was old --- have not heard back from them, so that's why I am writing this.  We give a lot of these out to the kids in the neighborhood as presents.  Today we got another 4 from a Seller --- these 4 barrels had an expiration date of 2/25/12!!!The need to realize that taking old inventory just to get rid of it during the holiday rush doesn't really work --- it's going to be a long time before I order anything from them again...",2.0
1729,Yum!,"Bought this because we have to watch the sodium.  This tastes EXACTLY like soy sauce, but with a fraction of the sodium and it's better for you.  We actually use instead of salt on about anything!  I had this in a bottle with a &#34;drip&#34; top... the spray top is REALLY awesome cause it mists all over.  Would I recommend this?  TOTALLY.",5.0
1730,Bettr'n Soy,This is a great substituent for soy sauce.  I might not be a soy aficionado because I can't tell the difference. I don't feel any guilt using as much as I want,5.0
1732,Love this!,"This stuff is greAt, bought after getting a air popper popcorn machine. We spray it on every time and it's so yummy, we then refill from a large bottle of Braggs.",5.0
1734,Do NOT buy from Buy Wholesale Cheap,"I have purchased this item before from The Sprout House.  I give 5 stars to theirs.  Theirs comes packed in a sturdy, reclosable jar (like a spice jar).  Their sprouts germinated/sprouted excellent and were super tasty.My last order, however, was purchased from Buy Wholesale Cheap.  They are way too cheap.  Those get zero stars.  The products should not even be under the same heading.  Theirs came in what amounts to a heavy-duty sandwich bag.  This cheap bag also split, and the seeds were everywhere -- all over my porch and in my garage.  In fact, the post office delivered the box several days late in a large, black plastic trash bag (see customer image).To my eye, the seeds from Buy Wholesale Cheap also did not look the same as those from The Sprout House either.  As a result, I would be careful about the reviews you see here on Amazon unless you know which you're getting.  I have 4 Easy Sprouters, and the sprouting seeds from The Sprout House are awesome.",3.0
1745,WARNING - AMAZON HAS TAKEN REVIEWS FROM SPROUT HOUSE AND MOVED THEM TO TODD.,"I wrote a review for Sprout House brocolli seeds in 2009.  That review is below.  I have never ordered seeds from Todd's.  Seed quality varies greatly for many reasons including the storage and shipping conditions and the age of the seed. I don't know whose fault it is that my review of Sprout House Seeds which are excellent ended up under Todd's seeds.  Todd has said that he has requested that this issue be corrected but that Amazon has refused.I am leaving this review here to alert you to the fact that all reviews posted under Todd's seeds relating to a product reviewed before early 2010 cannot be referring to Todd's company.  Todd did not start selling organic broccoli seeds on Amazon until early 2010.  In addition, any reviews referencing a product bought from Sprout House would not be applicable to Todd's Seeds.INITIAL REVIEW:I am very happy with these seeds.  High yield, in my opinion relatively mild flavor for broccoli sprouts and Rita the Sprout Lady at Sprout House provides cheerful, great, fast service. If you eat broccoli sprouts or want to, sprouting your own is the way to go.  Much less expensive than buying the sprouts at the grocery store and the quality of your own sprouts will be superior - much fresher and crisper.UPDATE: April 27,2011.  I had some leftover broccoli seeds that I kept in the refrigerator for two years from Sprout House.  They are still sprouting well and are delicious.  They just take a little longer to get going than when they were first purchased.FOLLOW UP REVIEW WHEN MY SPROUT HOUSE REVIEW STARTED APPEARING UNDER TODD'S SEEDS:UPDATE: August 11, 2011.  The seeds I bought were from Sprout House.  I continue to buy from Sprout House.  Amazon should not have placed my review under seeds from an entirely different vendor.  Not all seeds are equal.",1.0
1746,did not sprout very well for me,"These seeds did not seem to sprout very well for me.  Maybe 40% of them sprouted, so instead of lots of crispy sprouts, i ended up with some stringy sprouts with mostly soggy seeds.  It may have just been that batch, i don't know.",3.0
1752,Great sprouts!,"I love the flavor. I had some trouble with germination and rot, so I contacted this seller. They recommended the Easy Sprout Sprouter and I haven't had a bit of trouble since. I can sprout a half cup of seeds at a time with virtually no waste.",5.0
1753,A prefect gift when you include a sprouter and a book!,Sprouts are the future. I predict as people start raising more of their own food their popularity will grow exponentially. DD,5.0
1759,Seeds,"They sprouted ok. I really didn't care that much for the taste of them. Just the blend, nothing wrong with the product. I like broccoli sprouts best.",3.0
1762,"Healthy,Tasty Detox Mix","Broccoli sprouts are expensive, but mix well with alfalfa,radish,and clover to lower the cost, and retain nutrition/health..  Organic, 100% germination, reasonable cost, and (best of all)  great tasting= a good value.",5.0
1766,Great for the taste and for the throat,"L&auml;kerol licorice pastilles from Sweden are a firm but chewy little button with a strong traditional licorice flavor. The ones in the red box have a distinct menthol taste, which seems to go really well with the taste of licorice. Flavored with xylitol, they are almost calorie free at just 3 calories per pastille. Moreover, they are not just great for flavor. This itself would be enough of a reason to pop one in your mouth from time to time. But they are also good for the throat. Licorice is soothing to the respiratory system. (Many traditional European cough syrups have a licorice base.) And L&auml;kerol, with its strong dose of licorice extract, is no exception. They also are good for the breath. A couple of these pastille last a long time in the mouth and provide the licorice lover with a long-lasting licorice taste.",5.0
1767,My two favorite flavors,"This is my favorite Lakerol.  A strong flavor of Licorice and Menthol, with very little sugar.  Nice texture.  A nice vice without the consequences ;-)",5.0
1770,"Weird, addictive, gives you a bit of gas",These are crazy addictive little buggers. The menthol flavor doesn't appeal to many folks: I've tried to give some away with few takers. These do not give you the horrendous gas that the alcohol sugar treat give you but they do give you some. I probably won't buy these again.,3.0
1772,Disgusting!,This stuff is horrible!!!  It smells like and tastes like diesel!  Obviously not real vanilla powder.  Don't waste your money or time ordering this!  I had to throw it out because it smelled so bad.  The diesel flavor transfers into the food you use it on.  Totally disgusting!  I'd like to give it a &#34;0&#34; stars or negative star rating.,1.0
1776,Not Very Good,"Vanilla taste is just not in the product, leaves a scum in the cup, not what I expected at all, back to Lorann's Vanilla liquid.Maybe I can palm the other two bottles to an unsuspecting gullible guy like me.",2.0
1782,Not Again,"all vanilla powders are not the same, thought i could get away with it, but never will get this again, disappointing taste and a bit grainy too",1.0
1784,Good Value - Great Taste,"An update for July 2012Have ordered this assortment 4 times since my original review which I deleted to edit and add a new review.The company is now listing what you get in the package.........................Case of 60 Assorted Snack Size Bags. The snack size bags range from 3/4 oz to 1-1/4 oz. The assortment includes Regular, BBQ, Sour Cream & Onion, Salt & Vinegar, Crab and Kettle Classic potato chips, Thin pretzels, Cheese Curls, White Cheddar popcorn and Party MixI am very glad to see this.Its no longer a wait and see what you get purchase.However you do still get more of some types than others.A very good product but the dates usually range from 4 to 8 weeks.Could be longer but still a great price and the few that I have eaten after the past best by date I could tell no difference.I hope these stay on site for sale because they have become a regular purchase for me.",4.0
1788,Pricy for what you get,It was difficult to find this sugar out of season where I live and boy do you pay for that availability online. Next time I'll just buy extra bottles in season when stores carry them for christmas and put them in storage. It will cost me less. The product itself is nice and the crystals are bright and sparkling.,3.0
1795,Worked great.,"Did what it said it would do, looked lovely on cookies for Christmas.  Will try to post a photo next time I bake!",4.0
1797,If you cook you need sprinkles,"These little diamonds are great to decorate cookies at holidays or just to roll cookies in for everyday. Also, don't forget muffins or tea bread. Works nicely.",5.0
1807,Smell was weird...,"I didn't care for the smell at all, my personal preference.  It didn't smell like roses... more like a strange fake flower scent.  The lotion was good.... but I couldn't use it.",1.0
1810,This should come with a nose clip,"By far this is the weirdest/stinkiest organic product I have ever encountered. In a nutshell this lotion smells like baby puke, I mean baby food thrown up all over, so gross.  It didn't hit me in the store but when I got back to work and slathered it all over I wasn't so sure that the smile on my face wanted to remain there. My friend bought it too, I smelled her on her skin and in the tube and same thing, yuck.The moisturizing properties are meek, at their best. This is not really for mature skin, I had to reapply repeatedly and it felt my hands feeling clammy and stinking of baby food and I'm only twenty six. I adore this line for all their other products, the shampoos are amazing and the scrub works well but this one item is not the best to sample. I would suggest testing it in the store to see if one can handle it before shelling out some bucks on it. I rarely encounter beauty products that are this bad, and this one cuts the cheese, err I mean takes the cake in this case.- Kasia S.",2.0
1815,Rare high Aloe content for truly dry skin,"I personally prefer Neutrogena foot cream for desert dry feet but this is a rare find for the amount of Aloe and is what granny prefers (no one that I can find still sells a 100% cream) for serious desert dry AND aged skin. Most creams are watered down today for casual use, but that stuff does nothing for where it's often below 4% humidity. And, I was able to buy it here for much less, Recommended.",5.0
1824,"Average chocolate, strong fillings","These are definitely ""mid-range"" chocolates, not quite as good as Godiva or See's. If you're used to low-end chocolates like Fannie May or Russell Stover, you'll probably find these to be very good. However, if you're used to very good chocolates like La Maison du Chocolat, you'll be sorely disappointed.I found the chocolate to have unexceptional flavor and a somewhat waxy texture. The fillings were mostly very sweet or alcoholic, which is a common practice to cover up mediocre chocolate.I guess they're a good value compared to Godiva, although I think See's Candies has an even better value. Don't expect Leonidas to compare to a high-end chocolatier.",3.0
1831,superfine brown rice flour,For some reason this bag of brown rice flour did not hold up to the quality of all the other Authentic Foods flours that I use.  I did use the 3 lbs of flour in several different recipes and I was not real happy with the results.  I love Authentic Foods flours so I think this was just a one time occurrence.,3.0
1840,"Authentic Foods Brown Rice Flour, Superfine",Husband enjoys baking gluten free foods with Authentic Foods Brown Rice Flour. superfine. Buying on line helps because I do not have to get out and drive on busy roads. I buy from Amazon.com because I don't pay for shipping.,5.0
1841,Great flour,"This flour is amazing. I've used brown rice flour in my gluten-free baking for years. This particular one is so finely ground, there's no typical grit at all in the final product. I never even knew any rice flour could be this soft and smooth.If you bake with rice flours, this one gives a nice smooth final product, but still gives you the flavor and slight protein benefits of brown rice.",5.0
1842,The only brand I use,"I love this brand of gluten-free flours. The quality is very consistent and I never have any problems with the items I bake using their flours. Other flours, it is always hard to tell what you are going to get, but I thoroughly trust Authentic Foods to give me a great product at a reasonable price.",5.0
1843,"Love the product, hate the price",This product is not even organic so I do not know where they come up with $17-$19 for a 3-lb bag! That is what I have been paying for it through Amazon.com. Will be searching for less priced merchants. Very good product - makes baked goods so much better than regular (grainy) brown rice flour. This bag will not last very long if you do a reasonable amount of baking so make sure to have plenty on hand.,4.0
1853,"Packaging changed, product not the same.","I have a problem with this newly packaged tapioca starch.  Somehow this product has unlisted allergens it did not used to have before. I am allergic to beans and corn and their derivatives.  I used to be able to eat this very tapioca starch in the old, golden color package with no problem. When i ran out of it, i re-ordered and received a product in new packaging. I assumed the quality of the starch itself was the same, very unfortunately for me. I had a very bad allergic reaction from this newly packaged starch. I am anaphylactic, if that tells you anything.  I am extremely upset with the company not issuing a warning that the product has changed. This is unacceptable and life threatening to people with allergies, like myself.  I give it 3 stars, considering that people with no allergies might still find this new version of the product to be okay. AND because amazon customer service did it's best to address my problem with not receiving the expected old version of the product that was safe for my health....",3.0
1864,I hate it,"THIS STUFF IS A RIP OFF ! It does'nt work ,I have baked bread for many years as a G.F. person and tried this junk in my prep. to bake and this  #$@^ clumps into one little area and there it is !!!",1.0
1866,nice,works as it is suppose to. Am using it as I experiment with making my own whole grain breads.  Seems to be fresh.,5.0
1870,BEWARE: Hidden Ingredients Include Soybean Oil and MSG,"I took a chance on this mayonnaise, hoping that it would not contain soy oil --- because the ingredients are not listed in the description of this product.  So much to my dismay, I found out after the mayonnaise arrived that it does indeed contain soy oil  --- and worse, it contains MSG.The product may, in fact, be wonderful for some people.  But you should be aware that this product contains soybean oil and MSG --- which some people, cannot tolerate for medical reasons.Downgraded to three stars for hiding the ingredients.The ingredients only show up on the cello wrapper and do not appear on the plastic container itself.  So here is a the list of the ingredients so thoughtful buyers can make an intelligent decision without guessing or having to take a chance:***** Ingredients: Vegetable Oil (Canola Oil, Soybean Oil), Egg Yolk, Vinegar, Salt, Monosodium Glutamate (MSG), Spice, Natural Flavor, Contains Egg. *****",3.0
1873,Another great Walden Farms dressing,"This is another great dressing from Walden Farms. It's calorie-free but has great taste. As a warning, I should note that it's vinegar-based (not cream-based), so if you don't like vinegar, you might not have the same liking for this dressing that I do, but I am definitely hooked on this and other Walden Farms dressings.",5.0
1874,Doesn't Taste Good,"I had to throw this out because it really didn't taste good. It's hard to describe the taste, but it didn't taste like anything that I've had in Japanese restaurants.",2.0
1877,YUCKY :(,"in an effort to watch my caloric intake and stay more or less carb free i've been searching for products to add to my collection of foods that will help me achieve my weight loss/ health goals ...I've tried a lot of WF products and i find them all pretty much the same....super fake tasting. That said, i suppose they add a good fake flavor to salads and the like, but i'd rather just find something with maybe a few calories/fat etc and eat that than this completely chemical processed stuff ....Good luck to folks who love it....but this and all WF are just not for me.",1.0
1884,"Considering the perks, it's worth a try","By itself, the flavor is a bit odd, but considering what it doesn't have (calories, fat, sugar) it's worth a try to mix with a regular salad dressing or use as a sauce on casseroles, fish, or chicken that you are reaheating in the microwave or under the broiler. The Walden Farms company is a boon to diabetics and others on restricted diets.",3.0
1891,Five Stars,very good bbq sauce,5.0
1892,.....its not great,i thought this would be the answer to some of my low carb eating prayers....but....sadly...its just too much chemical flavour and not enough yumminess for me ...mixed with real hot sauce it is doablish (thats a word)good luck to tastebuds that love it tho (i know there is more than one of you out there),2.0
1893,Ick,"I normally love Walden Farms foods, but this sauce is not at all what I expected. It has a very bitter, acidic taste to it. If you're looking for a substitute for sweet barbeque sauce, this is not it.",1.0
1894,Rather runny consistency acceptable flavor not great,"It tastes ok. Not super.  Thin & runny, more the consistency of a marinade than bbq sauce.  I oscillate on whether I'll buy this again.  Hard to beat no calories...",3.0
1899,Need a bleach mouthwash after eating!,"It's not just THIS Walden Farms product, but every one I've tried. Syrups, marshmallow dip, Ketchup, Cocktail sauce.....!! You'd think after wasting so much money on them (not to mention the taste that leaves your mouth feeling like a chemical sewer!) I'd learn but kept hoping ONE item would be salvageable. No. They are so bad I almost considered gargling with bleach to erase the taste. There are no words for what these Walden products taste like: not any that can be printed on Amazon, at any rate. (shudder)",1.0
1900,Chemical aftertaste,"Give Walden Farms credit for making a no-carb sauce. It's just a shame it doesn't taste better. Still, I do buy it on occasion and mix it with other tastier sauces to lower the over all carb content. However, the smoke taste is so overwhelming that more than a proportion of 1:4 leaves only the taste of this product in your mouth. This product cannot begin to compare with the taste of the now-defunct Kraft's low-carb barbecue sauce. Mostly, I make my own low-carb sauce from scratch and then just add a bit of this to get the smoke taste, but too much and even the best batch of homemade sauce is ruined. However, if you are on an extreme low-carb diet (such as Dr. Bernstein's) this may be the only product that fits.",1.0
1908,Walden's Pancake Syrup,"The artificial sweetener taste really overwhelms the &#34;maple&#34; flavoring, so its not that great. I bought it because of the zero calories/carb listing, but it's just not worth the price at all. Way too expensive. Quite disappointed as I have used (and still buy) other Walden zero calorie/carb products.",3.0
1911,yuck!!,"This oil has a rancid, off-putting odor that smells NOTHING like coconut, more like yeast.  It also has a TERRIBLE taste.  DO NOT BUY!!!I consume a jar of coconut oil a week because I take it as a supplement and cook with it.  Jarrow, Spectrum, Nutiva, Vitacost and Swanson are MUCH better.  Their coconut oils smell really good with a fresh, coconut scent and taste great too.I was surprised because I use other NOW products and am happy with them. The quality, judging by my experience & others', is that this may just be a faulty jar but the quality isn't consistent.  I don't see bad reviews from the other oils I use & I have never had a bad batch from the others I have mentioned.",1.0
1913,Nutritionally Defecient,If you are interested in using this as a dietary supplement you should buy in bulk. You would have to take more than half the bottle at one time just to receive the daily dietary benefits. This is 10 times more expensive than buying in bulk and either taking with a spoon or adding it to your food. I am fond of NOW's products but this is just a response to a uneducated consumer demand. SO GET EDUCATED! It is your health! Find a much better online bulk price and buy it by the gallon or better and you will be feeling and looking better!,1.0
1916,Ok,I took it for about two weeks and my blood sugar spiked so I Stopped taking may be Ok for non=diabetics . Its my opinion.,3.0
1919,like em,"I haven't been taking these very long to post a review on quality and whatnot. I will say that the pills are a bit much to swallow. They are big, however they don't go down too bad. I have a hard time taking pills and when I opened the bottle I was like ""holy s***"" thinking that I wouldn't be able to get em down. I managed, but it does take me a minute to work up to it. So if you have any issues with swallowing pills, these are rather big, but they are softgels so I'm sure that helps.",3.0
